all_credits_amount,real_estate_amount
289870.9999630405,33000
341084.0993273542,0
178071.12487536352,0
238427.49994278085,30000
73427.49982089552,18000
255626.49860465116,12000
308891.69960681524,0
515811.49887218047,42000
83130.49995625547,0
72499.49999917863,39000
414253.59978571424,0
202760.49996273292,18000
210779.49967880084,42000
395695.49949409784,27000
386326.27499917865,0
307127.6998394864,30000
269295.29881889763,36000
201251.87962732918,15000
144387.4994897959,0
305977.4997841727,24000
147483.5799158721,24000
655651.9992753624,36000
77527.99968879668,24000
331571.7798232174,48000
546833.5249558694,48000
305502.99999917863,39000
142437.1497237569,48000
646137.5995856354,21000
341976.99965792475,33000
856231.0999263804,18000
264890.4995542348,12000
113355.99999917863,0
333374.49951298704,0
538086.4995230525,48000
276490.8887804878,42000
384885.49974533106,45000
240431.99914772727,0
129098.49858490565,24000
497772.9996781116,0
206398.99999917863,48000
1142905.4998942919,0
297473.7996644295,0
147794.49981143934,18000
471646.3399373957,21000
66454.99962871287,36000
431256.69969104015,0
231327.99979480164,21000
84996.9995890411,0
167632.10749999998,0
395017.49975409836,0
425507.49985458073,0
178937.49999917863,36000
370411.4989761092,45000
139870.9998472505,30000
425434.499895361,0
496782.49994999164,0
560478.4998700173,48000
406650.999857685,36000
120857.69990180034,30000
243156.99972577696,18000
266457.7999625655,36000
262127.99841269842,24000
637053.2498735777,0
202911.99988465974,0
553465.9999747623,0
430217.62424623116,30000
480052.99845360825,15000
193932.11883268482,0
272071.49983739835,36000
267526.5998194946,0
172563.49969635627,0
317438.18973913044,30000
310083.77951768483,24000
172432.49996522948,18000
462663.9992207792,0
596235.9996499417,42000
153753.37969666327,0
142137.49994999167,12000
554148.498630137,33000
215204.99988954345,24000
134794.4999217119,0
414959.9999354283,24000
392450.5995495495,0
630389.7498715754,39000
308978.19969818916,18000
115305.49988184325,39000
141986.49972273567,0
272341.4997292419,0
316299.4999332443,0
384349.49988913524,27000
361548.39965437783,30000
117857.49991017964,0
67486.49999917863,0
241929.9998843485,48000
278062.09992774564,33000
328119.4999204244,0
305886.79989010986,21000
265336.2995923913,24000
464961.4990740741,42000
439665.49997517996,36000
143806.74995246396,36000
264414.4997555012,0
324526.639939259,12000
400418.99988095235,18000
181732.99995840844,45000
1015795.2999299556,42000
112530.99927884615,12000
310674.6993534483,33000
507366.5229452055,36000
1116694.9999535747,12000
554312.9999045802,48000
252523.4999106611,39000
297572.49914772727,0
108004.49977392615,21000
253733.95971070393,0
137579.9996835443,30000
166916.99916666668,0
306690.9996875,0
252985.4997777778,36000
322778.0999121265,42000
134609.29849999998,33000
167451.3998688238,0
126551.49985119047,0
637436.6998533007,0
256693.99983089065,27000
104127.49984168865,42000
404246.49973707274,0
147744.49995430312,36000
350795.99994861253,12000
458624.74983739835,18000
310595.4799991786,18000
435315.49907692306,0
118516.49935205183,27000
573565.099916318,18000
128086.49971098267,36000
538395.4999324324,12000
495226.7484848485,39000
585811.9998448811,0
577928.0995956874,0
336449.97491961415,33000
214281.49991922456,36000
56978.99978525411,27000
45478.49995173745,0
300294.4997081712,21000
217933.49978118163,24000
252630.49986583184,21000
144290.49745762712,0
631029.7486175115,0
445950.59985133796,30000
447237.5995601173,0
361793.4999365348,0
421746.4998030203,33000
138127.4993736952,27000
149748.4997855611,0
143268.99990356798,45000
265728.49995407223,0
256160.0484042553,42000
459143.99999917863,30000
353588.67980353633,42000
512354.4998145859,27000
34009.99985279686,42000
841952.9999330058,0
542931.4999991786,24000
263039.0495024875,36000
429322.6997229917,30000
317263.8998362445,30000
322545.4985981308,27000
146878.5999459167,0
310375.4982248521,0
250674.49986813185,36000
291296.4997912317,48000
337280.79994373594,0
111593.99999917863,0
289028.4997104247,48000
685483.1499709949,0
1015064.2998496994,21000
131061.7494402985,30000
325817.9998927422,45000
562854.424891501,12000
126951.39986194202,24000
360334.9998809996,48000
514585.99988593155,0
262555.7198096446,39000
146020.49994901428,42000
196543.07994445472,0
152582.99987898345,12000
48942.199713740454,42000
246425.24986807388,0
713839.4999551167,42000
174219.49999917863,0
100480.99874476988,0
460295.4999468462,24000
252760.43991659716,0
166310.0498594189,24000
151297.49990947495,0
105997.99925187032,0
333104.4965909091,45000
365546.4998817501,15000
252930.54933035714,36000
612950.999909991,45000
300298.3499034438,27000
114621.49982014389,21000
296081.8991847826,0
291324.4993644068,45000
253399.99926650367,36000
116070.9999430632,36000
598401.9699763014,36000
149345.14987789988,0
142087.99987416106,24000
289720.49947460595,21000
368556.49977116706,48000
183207.4196662959,21000
226522.4998496994,24000
476701.8999991786,36000
43338.99991238318,0
255259.49988114103,0
444104.9995016611,0
381720.99963547994,0
379243.44985192496,27000
321604.5742248062,18000
351622.748943662,24000
126786.49999917863,42000
584911.2099398315,30000
514368.99970501475,15000
242592.99988721806,33000
733121.499951923,0
294537.5999438202,48000
487585.99988593155,0
173015.49974446336,15000
83299.99858490565,0
366763.89960369875,0
59505.49966666667,33000
338842.49976171565,0
255418.49988913524,48000
118570.49984817814,0
542095.9997560976,0
237730.99987720017,0
191980.79992473658,0
398245.4992227979,39000
21798.499859813084,15000
412456.2998426023,0
253073.43936305732,30000
294835.3999054522,48000
330227.4995290424,42000
451243.9996277916,18000
257407.9996749729,0
311165.499890471,45000
140715.44995987698,0
662869.9979166667,12000
409677.99988540873,36000
299096.77991636464,0
221786.19985044867,0
303634.9999737211,48000
151013.87490167157,48000
383536.4999759191,0
350551.4999352052,0
145842.69989204747,0
85127.49995846026,48000
91395.99995072273,33000
273232.9998861912,0
142444.99986571172,12000
317555.9999168053,18000
160070.49984168867,42000
51855.49982078853,21000
404380.4999219766,0
978304.4998907502,27000
216461.17966405375,15000
269704.29990800365,33000
284557.1599991786,24000
275440.99991273996,18000
473984.1598679577,0
582700.4998097654,18000
731630.1998514851,48000
160523.17496225465,24000
239116.4999445061,0
512640.49782608694,39000
