name,address,hours,lat,lng,rating,district
Галерея 76,"Москва, Профсоюзная улица, 76",nan,55.661117,37.543986,4.1,Юго-Западный административный округ
Радиокомплекс Южный,"Москва, Варшавское шоссе, вл132/2","ежедневно, 10:00–21:00",55.620366,37.608866,4.4,Южный административный округ
Гравитация,"Москва, Чертановская улица, 20соор3","ежедневно, 10:00–22:00",55.624362,37.594181,4.2,Южный административный округ
Севастополь,"Москва, Большая Юшуньская улица, 1А, корп. 3","ежедневно, 10:00–20:00",55.650275,37.5959,4.1,Юго-Западный административный округ
Царское село,"Москва, Профсоюзная улица, 45","ежедневно, 08:00–23:00",55.666503,37.551944,4.8,Юго-Западный административный округ
Дирижабль,"Москва, Профсоюзная улица, 64, корп. 2","ежедневно, 10:00–22:00",55.665869,37.54888,4.0,Юго-Западный административный округ
Нахимовский,"Москва, Нахимовский проспект, 20А","ежедневно, 08:00–23:00",55.668753,37.591345,4.5,Юго-Западный административный округ
Акварель,"Москва, Кировоградская улица, 9, корп. 1","ежедневно, 10:00–23:00",55.625682,37.612148,4.2,Южный административный округ
Торговый центр,"Москва, Варшавское шоссе, 124, корп. 1",nan,55.627468,37.615991,4.2,Южный административный округ
Черта,"Москва, Чертановская улица, 9, стр. 1","ежедневно, 10:00–19:00",55.62903,37.599775,4.1,Южный административный округ
Свод,"Москва, Чертановская улица, 1Г","ежедневно, 10:00–21:00",55.640136,37.606522,4.0,Южный административный округ
Торговый центр,"Москва, Азовская улица, 18","пн-чт 08:00–02:00; пт,сб 08:00–05:00; вс 08:00–02:00",55.656264,37.597748,2.5,Юго-Западный административный округ
Каховский,"Москва, Большая Юшуньская улица, 1А",пн-сб 09:00–20:00,55.648626,37.594351,3.0,Юго-Западный административный округ
ТЦ Чертановская 30,"Москва, Чертановская улица, 30, корп. 5","ежедневно, 08:00–23:00",55.620247,37.588858,4.0,Южный административный округ
Торговый центр,"Москва, Симферопольский проезд, 20","ежедневно, 09:00–21:00",55.663971,37.613201,3.0,Южный административный округ
Альянс,"Москва, Балаклавский проспект, 7","ежедневно, 10:00–21:00",55.640717,37.603487,3.3,Южный административный округ
Альфа,"Москва, Артековская улица, 1А","ежедневно, 09:00–23:00",55.652709,37.613615,3.1,Южный административный округ
Торговый комплекс,"Москва, Варшавское шоссе, 46А, стр. 4","ежедневно, 09:00–20:00",55.668975,37.623659,3.7,Южный административный округ
Уником,"Москва, Чертановская улица, 20, корп. 2","ежедневно, 10:00–21:00",55.625671,37.59499,2.3,Южный административный округ
Москворечье,"Москва, Каширское шоссе, 26","ежедневно, 08:00–23:00",55.653407,37.646369,4.4,Южный административный округ
Каширская Плаза,"Москва, Каширское шоссе, 61Г","ежедневно, 10:00–22:00",55.621249,37.714049,5.0,Южный административный округ
Смолл Пролетарский,"Москва, Пролетарский проспект, 2А","ежедневно, 10:00–23:00",55.648785,37.656515,4.0,Южный административный округ
Место встречи Эльбрус,"Москва, Кавказский бульвар, 17","ежедневно, 10:00–22:00",55.630972,37.670711,4.4,Южный административный округ
Пролетарский,"Москва, Пролетарский проспект, вл30","ежедневно, 07:00–00:00",55.631125,37.659494,4.8,Южный административный округ
Евромаг,"Москва, Новочеркасский бульвар, 10, корп. 1","ежедневно, 09:00–23:00",55.646538,37.715718,4.4,Юго-Восточный административный округ
Торговый центр,"Москва, Кантемировская улица, 7, корп. 1","ежедневно, 09:00–21:00",55.636064,37.672458,4.1,Южный административный округ
