acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
0.389,0.606,223787.0,0.737,0.0,C,0.0589,-4.371,Major,0.0721,95.984,0.652,Rock
0.885,0.607,222267.0,0.3229999999999999,0.000796,G,0.1159999999999999,-11.384,Major,0.0317,118.511,0.3,Rock
0.858,0.654,134400.0,0.336,0.385,F#,0.0786,-12.825,Major,0.0379,176.083,0.947,Rock
0.0451,0.605,-1.0,0.805,0.00055,B,0.109,-6.921,Minor,0.0357,124.138,0.913,Rock
0.321,0.731,189427.0,0.555,0.000103,D,0.0527,-13.684,Major,0.0519,131.26,0.935,Rock
0.0133,0.449,240467.0,0.8640000000000001,1.31e-06,A,0.0984,-1.159,Minor,0.0378,105.121,0.355,Rock
0.138,0.5479999999999999,346333.0,0.539,1.83e-05,E,0.1639999999999999,-6.67,Minor,0.0247,74.956,0.435,Rock
0.0137,0.462,-1.0,0.5379999999999999,0.0,C,0.429,-5.527,Major,0.059,139.256,0.405,Rock
0.226,0.386,-1.0,0.693,0.0,A#,0.153,-3.141,Major,0.0315,155.937,0.395,Rock
0.000138,0.547,243933.0,0.966,0.000659,B,0.312,-3.839,Major,0.0452,114.053,0.532,Rock
0.0929,0.497,365627.0,0.349,0.0279999999999999,G,0.259,-14.0,Major,0.0297,113.762,0.421,Rock
0.0114,0.61,253600.0,0.884,1.43e-06,D,0.181,-5.544,Minor,0.0499,139.966,0.5770000000000001,Rock
0.0090099999999999,0.529,219800.0,0.7140000000000001,6.26e-06,F#,0.0772,-6.315,Major,0.031,120.598,0.8140000000000001,Rock
0.0424,0.598,-1.0,0.797,0.000407,G,0.0717,-6.792999999999999,Major,0.0332,123.566,0.622,Rock
0.785,0.544,154187.0,0.34,3.89e-06,D,0.7340000000000001,-13.947,Major,0.0411,97.005,0.556,Rock
0.0657,0.259,-1.0,0.737,5.36e-06,E,0.0521,-11.487,Major,0.0401,175.06799999999998,0.8590000000000001,Rock
0.204,0.589,252200.0,0.82,0.0188,D,0.423,-9.602,Major,0.0369,117.307,0.787,Rock
0.143,0.8029999999999999,245056.0,0.418,0.0,A,0.0524,-5.751,Minor,0.0318,83.965,0.784,Rock
0.0962,0.59,230640.0,0.868,0.000322,F,0.442,-5.832000000000001,Minor,0.048,184.348,0.7979999999999999,Rock
0.0638,0.657,232167.0,0.86,0.0,A,0.113,-2.948,Major,0.0426,130.016,0.474,Rock
0.569,0.6990000000000001,183067.0,0.782,1e-05,E,0.0921,-5.202999999999999,Major,0.0567,164.817,0.97,Rock
0.0141,0.648,294587.0,0.755,0.000249,C,0.225,-7.901,Major,0.03,126.341,0.607,Rock
0.368,0.601,187667.0,0.268,0.0,G#,0.209,-12.11,Major,0.0291,76.982,0.241,Rock
0.00232,0.735,292429.0,0.542,0.000736,F,0.093,-7.746,Minor,0.0339,83.53299999999999,0.5539999999999999,Rock
0.77,0.309,270933.0,0.482,7.06e-06,F#,0.235,-7.991,Major,0.0422,66.749,0.349,Rock
0.000286,0.514,207147.0,0.825,0.293,C,0.607,-5.136,Major,0.0486,125.273,0.655,Rock
0.774,0.652,229760.0,0.545,0.0428,C#,0.0847,-9.021,Major,0.0358,107.019,0.626,Rock
0.0852,0.675,253800.0,0.61,0.0188,C#,0.159,-13.811,Major,0.085,131.037,0.344,Rock
